user_id,date_naissance,genre
1,1967-11-08,Male
2,1978-07-08,Femelle
3,1962-06-01,Male
4,1974-04-15,Femelle
5,1991-11-27,Male
6,1988-03-17,Femelle
7,1978-12-26,Femelle
8,2005-01-03,Femelle
9,2000-01-01,Male
10,1986-08-16,Femelle
11,2005-11-19,Male
12,1978-09-01,Femelle
13,1962-04-29,Femelle
14,2002-10-13,Femelle
15,1994-09-13,Femelle
16,1974-08-09,Femelle
17,1974-06-13,Male
18,1993-05-23,Male
19,1993-06-15,Male
20,1975-05-20,Male
21,1964-12-19,Femelle
22,1979-05-22,Femelle
23,2001-08-05,Male
24,1980-07-31,Femelle
25,2003-04-22,Femelle
26,1991-07-09,Male
27,1989-02-09,Male
28,1976-03-25,Male
29,1983-08-31,Male
30,1994-06-23,Femelle
31,1989-08-29,Femelle
32,1984-11-20,Male
33,1969-06-14,Femelle
34,1962-02-02,Male
35,1960-01-14,Femelle
36,1994-10-09,Femelle
37,1971-03-03,Male
38,1982-07-17,Male
39,1960-07-26,Femelle
40,1971-10-15,Femelle
41,1974-10-15,Femelle
42,1986-12-05,Femelle
43,1962-07-21,Femelle
44,1965-08-09,Femelle
45,1982-12-27,Male
46,1976-09-29,Male
47,1962-08-27,Femelle
48,1973-02-11,Male
49,1992-10-14,Femelle
50,1976-05-03,Male
51,1965-06-20,Male
52,1989-05-20,Femelle
53,1985-09-17,Male
54,2003-11-14,Male
55,1988-12-04,Femelle
56,1988-12-28,Male
57,1961-12-01,Femelle
58,1979-02-24,Femelle
59,1992-06-13,Femelle
60,1993-12-07,Male
61,1984-10-02,Male
62,2000-04-19,Male
63,1967-01-23,Femelle
64,1987-06-18,Male
65,1995-09-21,Femelle
66,2005-02-09,Male
67,1970-02-22,Femelle
68,1978-08-28,Male
69,1993-06-19,Male
70,1999-02-24,Male
71,1993-02-12,Femelle
72,1990-01-16,Femelle
73,1978-06-09,Male
74,2003-07-25,Femelle
75,1982-10-23,Femelle
76,1977-10-30,Femelle
77,1981-07-07,Male
78,1983-10-28,Femelle
79,2004-07-09,Femelle
80,1961-03-13,Male
81,1998-11-27,Femelle
82,1987-08-08,Male
83,1978-05-28,Femelle
84,1982-11-12,Femelle
85,1985-02-14,Male
86,1980-08-06,Male
87,1979-06-19,Femelle
88,1987-06-04,Male
