user_id,produit_id,vue_produit,favori,ajout_panier,achat
987,92,10,0,3,0
689,226,5,1,5,0
533,229,1,0,0,0
887,238,8,0,1,0
951,457,4,0,3,0
889,44,5,0,5,0
888,288,9,0,0,0
127,429,8,0,1,0
766,373,2,0,5,0
909,108,2,0,5,0
286,102,3,0,1,0
893,182,1,0,5,0
368,25,7,0,5,0
777,15,4,1,0,0
765,62,8,0,0,0
277,202,10,0,8,1
207,474,10,0,5,0
851,441,4,0,4,0
961,141,2,0,5,0
401,48,10,0,3,1
744,420,4,0,7,1
369,430,6,0,7,1
329,376,2,0,3,0
331,332,4,0,2,1
328,78,9,0,1,1
308,454,10,0,0,0
371,432,9,0,3,0
404,162,6,0,5,0
503,246,9,0,3,0
486,275,4,0,5,1
727,368,2,1,1,0
552,350,7,0,2,0
204,311,4,1,3,0
123,165,10,0,0,0
730,154,10,1,7,1
175,20,3,0,8,1
925,403,7,0,1,0
168,58,7,0,4,0
778,198,8,0,5,1
659,482,1,0,0,0
177,499,9,0,0,0
547,130,6,0,1,0
993,284,3,0,8,1
540,73,3,0,4,0
265,500,10,0,4,0
4,472,5,1,1,1
895,353,6,0,2,1
18,432,10,0,3,0
900,426,1,0,7,1
61,403,1,0,0,0
918,396,3,1,10,1
857,132,4,0,5,0
55,173,9,0,4,0
828,113,8,0,2,0
665,86,3,0,0,0
829,432,5,0,1,0
166,442,9,0,5,0
413,218,8,1,0,0
244,72,10,0,4,0
491,356,7,0,9,1
677,85,2,0,5,0
553,126,1,0,1,0
189,358,9,0,6,1
856,190,1,0,2,0
120,390,2,0,0,0
577,461,8,0,9,1
800,19,2,0,2,0
493,159,4,0,4,0
607,67,6,1,4,0
63,305,9,0,9,1
584,365,1,0,3,0
355,239,10,0,5,0
957,444,5,0,0,0
529,286,8,0,1,0
449,143,8,0,3,1
89,425,5,0,0,0
130,331,6,0,0,0
135,221,3,0,0,0
638,398,8,0,3,0
37,1,3,0,5,0
381,142,3,1,3,1
379,120,9,0,2,0
305,332,4,0,1,0
954,447,9,0,5,0
685,429,6,0,3,1
806,476,7,1,2,0
207,78,3,0,2,0
712,105,10,0,8,1
292,259,3,1,4,0
59,334,3,0,3,0
803,259,4,0,3,0
168,44,5,0,5,1
782,131,7,0,0,0
253,407,10,0,10,1
75,87,2,0,0,0
871,116,3,0,1,0
689,456,4,0,0,0
317,77,7,0,5,0
861,225,1,0,4,0
462,257,7,0,4,0
761,226,7,0,5,1
315,86,2,0,5,0
565,463,6,1,9,1
81,393,1,0,0,0
124,46,2,0,1,1
332,205,9,0,4,0
408,66,8,0,1,0
735,231,9,0,4,0
924,90,6,0,4,0
746,25,10,0,5,0
215,223,5,0,2,1
76,277,7,0,3,1
232,57,9,0,4,1
713,14,4,0,2,0
426,429,4,0,3,0
979,448,1,0,0,0
504,322,8,1,7,1
571,259,8,0,4,0
467,452,4,0,3,0
800,355,9,0,2,0
494,443,5,1,5,1
899,76,5,0,4,0
497,105,2,0,3,0
181,416,10,0,4,0
635,28,2,0,4,0
901,456,6,0,4,0
39,83,9,0,3,1
723,189,8,0,2,0
31,296,7,0,5,0
694,416,4,0,2,0
948,213,2,0,4,0
687,152,6,0,0,0
896,262,5,0,4,0
319,240,6,0,5,0
420,466,4,0,4,0
105,56,5,0,4,0
7,246,9,0,2,0
922,133,7,0,3,0
899,298,2,0,1,0
967,466,5,0,3,0
839,471,9,1,3,0
49,71,7,0,4,1
741,177,2,0,4,0
405,64,3,0,4,1
882,453,2,0,3,0
846,405,6,0,2,1
70,3,1,0,1,0
15,482,10,0,4,0
246,6,6,1,2,0
26,138,10,0,0,0
411,100,3,0,3,0
435,438,8,0,3,1
70,379,3,0,5,1
134,233,2,0,4,0
868,291,10,0,1,0
100,371,10,0,3,1
486,483,8,0,0,0
90,136,10,0,1,0
230,134,1,0,5,0
224,285,5,1,2,1
558,46,8,0,5,1
579,20,9,0,3,0
809,307,4,0,2,0
758,408,7,0,1,0
375,283,10,0,5,1
679,269,3,0,3,0
904,380,3,0,7,1
878,499,2,0,0,0
794,27,4,0,0,0
913,392,3,0,9,1
454,30,9,0,2,0
233,28,10,0,4,0
358,56,7,0,9,1
104,395,4,0,4,0
565,22,9,0,4,0
847,187,5,0,2,0
925,359,4,0,1,0
818,87,2,1,5,0
997,432,7,0,9,1
527,185,1,0,3,0
